CatalogKey,StockItemKey,PriceGroup,CurrencyCode,Price,Retail
ALL,840290905896,LP,USD,134.5,269.0
ALL,840290905827,LP,USD,109.5,219.0
ALL,840290905902,LP,USD,109.5,219.0
ALL,840290905834,LP,USD,109.5,219.0
ALL,840290905919,LP,USD,109.5,219.0
ALL,840290905933,LP,USD,109.5,219.0
ALL,840290917707,LP,USD,134.5,269.0
ALL,840290905957,LP,USD,109.5,219.0
ALL,840290906664,LP,USD,109.5,219.0
ALL,840290906671,LP,USD,109.5,219.0
ALL,840290906688,LP,USD,134.5,269.0
ALL,840290906695,LP,USD,109.5,219.0
ALL,840290906701,LP,USD,109.5,219.0
ALL,840290906718,LP,USD,109.5,219.0
ALL,840290906725,LP,USD,109.5,219.0
ALL,840290906732,LP,USD,109.5,219.0
ALL,840290906749,LP,USD,134.5,269.0
ALL,840290906756,LP,USD,134.5,269.0
ALL,840290906145,LP,USD,17.5,35.0
ALL,840290906152,LP,USD,17.5,35.0
ALL,840290906176,LP,USD,17.5,35.0
ALL,840290906183,LP,USD,17.5,35.0
ALL,840290906190,LP,USD,17.5,35.0
ALL,840290906206,LP,USD,17.5,35.0
ALL,840290906336,LP,USD,17.5,35.0
ALL,840290906220,LP,USD,17.5,35.0
ALL,840290906237,LP,USD,17.5,35.0
ALL,840290906244,LP,USD,17.5,35.0
ALL,840290906275,LP,USD,17.5,35.0
ALL,840290906343,LP,USD,17.5,35.0
ALL,840290906299,LP,USD,17.5,35.0
ALL,810070822927,LP,USD,134.5,269.0
ALL,810070822934,LP,USD,134.5,269.0
ALL,810070822941,LP,USD,109.5,219.0
ALL,810070822958,LP,USD,109.5,219.0
ALL,810070822965,LP,USD,109.5,219.0
ALL,810070822989,LP,USD,134.5,269.0
ALL,810070822996,LP,USD,134.5,269.0
ALL,810070823009,LP,USD,109.5,219.0
ALL,810070823016,LP,USD,109.5,219.0
ALL,810070823030,LP,USD,134.5,269.0
ALL,810070823047,LP,USD,109.5,219.0
ALL,810070823054,LP,USD,109.5,219.0
ALL,810070823061,LP,USD,109.5,219.0
ALL,810070823078,LP,USD,109.5,219.0
ALL,810070823108,LP,USD,134.5,269.0
ALL,810070823115,LP,USD,134.5,269.0
ALL,810070823122,LP,USD,109.5,219.0
ALL,810070823139,LP,USD,109.5,219.0
ALL,810070823153,LP,USD,134.5,269.0
ALL,810070823160,LP,USD,109.5,219.0
ALL,810070823177,LP,USD,109.5,219.0
ALL,810070823184,LP,USD,109.5,219.0
ALL,810070823207,LP,USD,134.5,269.0
ALL,810070823214,LP,USD,134.5,269.0
ALL,840290907517,LP,USD,80.0,259.0
ALL,840290907524,LP,USD,80.0,259.0
ALL,840290907531,LP,USD,80.0,259.0
ALL,840290907548,LP,USD,80.0,259.0
ALL,840290907555,LP,USD,80.0,259.0
ALL,840290907562,LP,USD,67.5,209.0
ALL,840290907579,LP,USD,67.5,209.0
ALL,840290907586,LP,USD,80.0,259.0
ALL,840290907593,LP,USD,67.5,209.0
ALL,840290907609,LP,USD,67.5,209.0
ALL,840290907616,LP,USD,67.5,209.0
ALL,840290907623,LP,USD,67.5,209.0
ALL,840290907630,LP,USD,67.5,209.0
ALL,840290907647,LP,USD,134.5,269.0
ALL,840290907654,LP,USD,134.5,269.0
ALL,840290906763,LP,USD,134.5,269.0
ALL,840290906770,LP,USD,134.5,269.0
ALL,840290906787,LP,USD,134.5,269.0
ALL,840290906794,LP,USD,109.5,219.0
ALL,840290906800,LP,USD,109.5,219.0
ALL,840290906817,LP,USD,134.5,269.0
ALL,840290906824,LP,USD,109.5,219.0
ALL,840290906831,LP,USD,109.5,219.0
ALL,840290906848,LP,USD,109.5,219.0
ALL,840290906855,LP,USD,109.5,219.0
ALL,840290906862,LP,USD,109.5,219.0
ALL,840290906879,LP,USD,134.5,269.0
ALL,840290906886,LP,USD,134.5,269.0
ALL,840290906893,LP,USD,134.5,269.0
ALL,840290906909,LP,USD,134.5,269.0
ALL,840290906916,LP,USD,134.5,269.0
ALL,840290906923,LP,USD,109.5,219.0
ALL,840290906930,LP,USD,109.5,219.0
ALL,840290906947,LP,USD,134.5,269.0
ALL,810070823221,LP,USD,109.5,219.0
ALL,810070823238,LP,USD,109.5,219.0
ALL,810070823245,LP,USD,134.5,269.0
ALL,810070823252,LP,USD,134.5,269.0
ALL,810070823269,LP,USD,109.5,219.0
ALL,810070823276,LP,USD,109.5,219.0
ALL,810070823283,LP,USD,109.5,219.0
ALL,810070823290,LP,USD,109.5,219.0
ALL,840290906954,LP,USD,109.5,219.0
ALL,840290906961,LP,USD,109.5,219.0
ALL,840290906978,LP,USD,109.5,219.0
ALL,840290906985,LP,USD,109.5,219.0
ALL,840290906992,LP,USD,109.5,219.0
ALL,840290907005,LP,USD,134.5,269.0
ALL,840290907012,LP,USD,134.5,269.0
ALL,840290907029,LP,USD,134.5,269.0
ALL,840290907036,LP,USD,134.5,269.0
ALL,840290907043,LP,USD,134.5,269.0
ALL,840290907050,LP,USD,109.5,219.0
ALL,840290907067,LP,USD,109.5,219.0
ALL,840290907074,LP,USD,134.5,269.0
ALL,840290907081,LP,USD,109.5,219.0
ALL,840290907098,LP,USD,109.5,219.0
ALL,840290907104,LP,USD,109.5,219.0
ALL,840290906107,LP,USD,17.5,35.0
ALL,840290906114,LP,USD,17.5,35.0
ALL,840290907111,LP,USD,109.5,219.0
ALL,840290907128,LP,USD,109.5,219.0
ALL,840290907135,LP,USD,134.5,269.0
ALL,840290907142,LP,USD,134.5,269.0
ALL,840290907159,LP,USD,134.5,269.0
ALL,840290907166,LP,USD,134.5,269.0
ALL,840290907173,LP,USD,134.5,269.0
ALL,840290907180,LP,USD,109.5,219.0
ALL,840290907197,LP,USD,109.5,219.0
ALL,840290907210,LP,USD,109.5,219.0
ALL,840290907227,LP,USD,109.5,219.0
ALL,840290907661,LP,USD,134.5,269.0
ALL,840290907678,LP,USD,134.5,269.0
ALL,840290907685,LP,USD,134.5,269.0
ALL,840290907692,LP,USD,109.5,219.0
ALL,840290907708,LP,USD,109.5,219.0
ALL,840290907715,LP,USD,134.5,269.0
ALL,840290907722,LP,USD,109.5,219.0
ALL,840290907739,LP,USD,109.5,219.0
ALL,840290907746,LP,USD,109.5,219.0
ALL,810070820121,LP,USD,134.5,269.0
ALL,810070820138,LP,USD,109.5,219.0
ALL,810070820145,LP,USD,109.5,219.0
ALL,810070820169,LP,USD,134.5,269.0
ALL,810070820176,LP,USD,109.5,219.0
ALL,810070820183,LP,USD,109.5,219.0
ALL,810070820190,LP,USD,109.5,219.0
ALL,810070820206,LP,USD,109.5,219.0
ALL,810070820213,LP,USD,134.5,269.0
ALL,810070820220,LP,USD,134.5,269.0
ALL,810070820237,LP,USD,109.5,219.0
ALL,810070820244,LP,USD,109.5,219.0
ALL,810070820251,LP,USD,134.5,269.0
ALL,810070820275,LP,USD,109.5,219.0
ALL,810070829896,LP,USD,134.5,269.0
ALL,810070829728,LP,USD,80.0,259.0
ALL,810070829346,LP,USD,109.5,219.0
ALL,840290900136,LP,USD,109.5,219.0
ALL,810070824921,LP,USD,22.5,35.0
ALL,840290906138,LP,USD,17.5,35.0
ALL,810070826000,LP,USD,109.5,219.0
ALL,810070826017,LP,USD,109.5,219.0
ALL,810070826093,LP,USD,109.5,219.0
ALL,810070826109,LP,USD,109.5,219.0
ALL,810070826185,LP,USD,109.5,219.0
ALL,810070826277,LP,USD,109.5,219.0
ALL,810070826284,LP,USD,109.5,219.0
ALL,810070826291,LP,USD,109.5,219.0
ALL,810070826307,LP,USD,109.5,219.0
ALL,091037645999,LP,USD,7.5,14.99
ALL,091037645074,LP,USD,7.5,14.99
ALL,091037645623,LP,USD,7.5,14.99
ALL,840290913358,LP,USD,24.5,49.0
ALL,840290913365,LP,USD,24.5,49.0
ALL,840290913372,LP,USD,24.5,49.0
ALL,840290913389,LP,USD,24.5,49.0
ALL,840290913396,LP,USD,24.5,49.0
ALL,840290913402,LP,USD,24.5,49.0
ALL,840290913419,LP,USD,24.5,49.0
ALL,840290913426,LP,USD,24.5,49.0
ALL,840290913433,LP,USD,24.5,49.0
ALL,840290913440,LP,USD,24.5,49.0
ALL,840290913457,LP,USD,24.5,49.0
