Region,CatalogKey,ItemNumber,ColorCode,TagName,TagValue
GLOBAL,ALL,CAL413122,413,Product Type,Sunglasses
GLOBAL,ALL,CAL413123,413,Product Type,Sunglasses
GLOBAL,ALL,CAL413606,413,Product Type,Sunglasses
GLOBAL,ALL,CAL413626,413,Product Type,Sunglasses
GLOBAL,ALL,CAL413704,413,Product Type,Sunglasses
GLOBAL,ALL,CAL413724,413,Product Type,Sunglasses
GLOBAL,ALL,CAL413N00,413,Product Type,Sunglasses
GLOBAL,ALL,CAL413N20,413,Product Type,Sunglasses
GLOBAL,ALL,CAL41H000,41H,Product Type,Sunglasses
GLOBAL,ALL,CAL41H001,41H,Product Type,Sunglasses
GLOBAL,ALL,CAL41H020,41H,Product Type,Sunglasses
GLOBAL,ALL,CAL41H021,41H,Product Type,Sunglasses
GLOBAL,ALL,CAL41H102,41H,Product Type,Sunglasses
GLOBAL,ALL,CAL41H103,41H,Product Type,Sunglasses
GLOBAL,ALL,CAL41H122,41H,Product Type,Sunglasses
GLOBAL,ALL,CAL41H123,41H,Product Type,Sunglasses
GLOBAL,ALL,CAL41H606,41H,Product Type,Sunglasses
GLOBAL,ALL,CAL41H626,41H,Product Type,Sunglasses
GLOBAL,ALL,CAL41H704,41H,Product Type,Sunglasses
GLOBAL,ALL,CAL41H724,41H,Product Type,Sunglasses
GLOBAL,ALL,CAL41HN00,41H,Product Type,Sunglasses
GLOBAL,ALL,CAL41HN20,41H,Product Type,Sunglasses
GLOBAL,ALL,CAL9EN000,9EN,Product Type,Sunglasses
GLOBAL,ALL,CAL9EN001,9EN,Product Type,Sunglasses
GLOBAL,ALL,CAL9EN020,9EN,Product Type,Sunglasses
GLOBAL,ALL,CAL9EN021,9EN,Product Type,Sunglasses
GLOBAL,ALL,CAL9EN102,9EN,Product Type,Sunglasses
GLOBAL,ALL,CAL9EN103,9EN,Product Type,Sunglasses
GLOBAL,ALL,CAL9EN122,9EN,Product Type,Sunglasses
GLOBAL,ALL,CAL9EN123,9EN,Product Type,Sunglasses
GLOBAL,ALL,CAL9EN606,9EN,Product Type,Sunglasses
GLOBAL,ALL,CAL9EN626,9EN,Product Type,Sunglasses
GLOBAL,ALL,CAL9EN704,9EN,Product Type,Sunglasses
GLOBAL,ALL,CAL9EN724,9EN,Product Type,Sunglasses
GLOBAL,ALL,CAL9ENN00,9EN,Product Type,Sunglasses
GLOBAL,ALL,CAL9ENN20,9EN,Product Type,Sunglasses
GLOBAL,ALL,CARPPH,9BC,Product Type,Apparel - Hats
GLOBAL,ALL,CATFISHPH,8KC,Product Type,Apparel - Hats
GLOBAL,ALL,CHE141000,141,Product Type,Sunglasses
GLOBAL,ALL,CHE141001,141,Product Type,Sunglasses
GLOBAL,ALL,CHE141020,141,Product Type,Sunglasses
GLOBAL,ALL,CHE141021,141,Product Type,Sunglasses
GLOBAL,ALL,CHE141102,141,Product Type,Sunglasses
GLOBAL,ALL,CHE141103,141,Product Type,Sunglasses
GLOBAL,ALL,CHE141122,141,Product Type,Sunglasses
